,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
0,10797460,Kepler-227 b,K00752.01,CONFIRMED,0.022344,5455.0,0.927,2,142.0,2.26,LS+MCMC,0.0,9.48803557
1,10797460,Kepler-227 c,K00752.02,CONFIRMED,0.027954,5455.0,0.927,2,25.0,2.83,LS+MCMC,0.0,54.4183827
4,10854555,Kepler-664 b,K00755.01,CONFIRMED,0.024064,6031.0,1.046,1,515.0,2.75,LS+MCMC,0.0,2.525591777
5,10872983,Kepler-228 d,K00756.01,CONFIRMED,0.036779,6046.0,0.972,3,95.0,3.9,LS+MCMC,0.0,11.09432054
6,10872983,Kepler-228 c,K00756.02,CONFIRMED,0.026133,6046.0,0.972,3,240.0,2.77,LS+MCMC,0.0,4.13443512
7,10872983,Kepler-228 b,K00756.03,CONFIRMED,0.014983,6046.0,0.972,3,355.0,1.59,LS+MCMC,0.0,2.56658897
9,10910878,Kepler-229 c,K00757.01,CONFIRMED,0.062161,5031.0,0.848,3,69.0,5.76,LS+MCMC,0.0,16.06864674
10,11446443,Kepler-1 b,K00001.01,CONFIRMED,0.123871,5820.0,0.964,1,432.0,13.04,LS+MCMC,0.0,2.470613377
11,10666592,Kepler-2 b,K00002.01,CONFIRMED,0.075522,6440.0,1.952,1,611.0,16.1,LS+MCMC,0.0,2.204735417
12,6922244,Kepler-8 b,K00010.01,CONFIRMED,0.092086,6225.0,1.451,1,384.0,14.59,LS+MCMC,0.0,3.522498429
13,10984090,Kepler-466 c,K00112.02,CONFIRMED,0.010424,5833.0,1.022,2,352.0,1.16,LS+MCMC,0.0,3.709214104
18,10526549,Kepler-660 b,K00746.01,CONFIRMED,0.032563,4856.0,0.696,1,144.0,2.47,LS+MCMC,0.0,9.27358173
19,10583066,Kepler-661 b,K00747.01,CONFIRMED,0.038838,4537.0,0.672,1,215.0,2.85,LS+MCMC,0.0,6.02930329
21,10601284,Kepler-226 c,K00749.01,CONFIRMED,0.025706,5185.0,0.91,3,247.0,2.55,LS+MCMC,0.0,5.349553819
22,10601284,Kepler-226 b,K00749.02,CONFIRMED,0.017105,5185.0,0.91,3,322.0,1.7,LS+MCMC,0.0,3.94105221
23,10601284,Kepler-226 d,K00749.03,CONFIRMED,0.013127,5185.0,0.91,3,141.0,1.3,LS+MCMC,0.0,8.10904807
25,10662202,Kepler-662 b,K00750.01,CONFIRMED,0.032666,4954.0,0.828,4,62.0,2.95,LS+MCMC,0.0,21.67699193
26,10682541,Kepler-663 b,K00751.01,CONFIRMED,0.030014,5339.0,0.847,1,208.0,2.78,LS+MCMC,0.0,4.99677968
27,11460018,Kepler-671 b,K00769.01,CONFIRMED,0.025377,5644.0,0.831,1,311.0,2.3,LS+MCMC,0.0,4.280963604
31,11507101,Kepler-672 b,K00773.01,CONFIRMED,0.024901,5481.0,1.036,1,37.0,2.82,LS+MCMC,0.0,38.3775486
32,10910878,Kepler-229 d,K00757.02,CONFIRMED,0.041693,5031.0,0.848,3,26.0,3.86,LS+MCMC,0.0,41.19725502
33,10910878,Kepler-229 b,K00757.03,CONFIRMED,0.028604,5031.0,0.848,3,167.0,2.65,LS+MCMC,0.0,6.252962249
34,10987985,Kepler-665 b,K00758.01,CONFIRMED,0.034369,5015.0,0.826,1,65.0,3.1,LS+MCMC,0.0,16.01308419
35,11018648,Kepler-230 b,K00759.01,CONFIRMED,0.03852,5586.0,0.798,2,34.0,3.36,LS+MCMC,0.0,32.62876672
36,11018648,Kepler-230 c,K00759.02,CONFIRMED,0.02432,5586.0,0.798,2,11.0,2.12,LS+MCMC,0.0,91.7732862
39,11153539,Kepler-666 b,K00762.01,CONFIRMED,0.019817,6075.0,0.969,1,238.0,2.1,LS+MCMC,0.0,4.49876511
41,9579641,Kepler-105 b,K00115.01,CONFIRMED,0.024775,5779.0,1.087,3,244.0,2.94,LS+MCMC,0.0,5.412203927
42,11304958,Kepler-667 b,K00764.01,CONFIRMED,0.048175,5468.0,1.046,1,33.0,5.5,LS+MCMC,0.0,41.43958662
43,11391957,Kepler-668 b,K00765.01,CONFIRMED,0.029305,5592.0,0.787,1,127.0,2.52,LS+MCMC,0.0,8.35389523
44,11403044,Kepler-669 b,K00766.01,CONFIRMED,0.036796,6174.0,1.103,1,323.0,4.43,LS+MCMC,0.0,4.125543472
45,11414511,Kepler-670 b,K00767.01,CONFIRMED,0.117059,5532.0,0.955,1,474.0,12.21,LS+MCMC,0.0,2.816504904
47,12110942,Kepler-680 b,K00786.01,CONFIRMED,0.018878,5880.0,0.917,1,360.0,1.89,LS+MCMC,0.0,3.689920099
48,12366084,Kepler-232 b,K00787.01,CONFIRMED,0.02933,5714.0,1.015,3,302.0,3.25,LS+MCMC,0.0,4.431238488
49,12366084,Kepler-232 c,K00787.02,CONFIRMED,0.035628,5714.0,1.015,3,109.0,3.95,LS+MCMC,0.0,11.37936986
